"Retail Branding","Marketing Name","Device","Model"
"Lenovo","Vibe K5 / K5 Plus","A6020","A6020"
"Fairphone","FP2","FP2","FP2"
"Asus","Zenfone 6 (ZS630KL)","I01WD","I01WD"
"Asus","ZenPad 8.0 (Z380KL)","P024","P024"
"Asus","Zenfone Max Pro M1","X00TD","X00TD"
"Lenovo","Yoga Tab 3 Plus Wi-Fi","YTX703F","YTX703F"
"Lenovo","Yoga Tab 3 Plus LTE","YTX703L","YTX703L"
"Asus","Zenfone 2 (720p)","Z008","Z008"
"Asus","Zenfone 2 (1080p)","Z00A","Z00A"
"Asus","Zenfone 2 (ZE500CL)","Z00D","Z00D"
"Asus","Zenfone 2 Laser (720p)","Z00L","Z00L"
"Asus","Zenfone 2 Laser/Selfie (1080p)","Z00T","Z00T"
"Samsung","Galaxy A3 (2016)","a3xelte","a3xelte"
"Samsung","Galaxy A5 (2016)","a5xelte","a5xelte"
"Samsung","Galaxy A5 (2017)","a5y17lte","a5y17lte"
"Samsung","Galaxy A7 (2017)","a7y17lte","a7y17lte"
"Motorola","Moto Z Play","addison","addison"
"Motorola","Moto Z2 Play","albus","albus"
"Google","Nexus 6P","angler","angler"
"Xiaomi","Redmi 1S","armani","armani"
"Motorola","Moto G4","athene","athene"
"ZTE","Axon 7","axon7","axon7"
"OnePlus","One","bacon","bacon"
"BQ","Aquaris X","bardock","bardock"
"BQ","Aquaris X Pro","bardockpro","bardockpro"
"Huawei","Honor View 10","berkeley","berkeley"
"Xiaomi","Poco F1","beryllium","beryllium"
"Google","Nexus 5X","bullhead","bullhead"
"Xiaomi","Mi 3 / Mi 4","cancro","cancro"
"Xiaomi","Mi 5s","capricorn","capricorn"
"Samsung","Galaxy Tab S 10.5 LTE","chagalllte","chagalllte"
"Samsung","Galaxy Tab S 10.5 Wi-Fi","chagallwifi","chagallwifi"
"BQ","Aquaris U","chaozu","chaozu"
"Huawei","P20 Pro","charlotte","charlotte"
"Huawei","Honor 4x (China Telecom)","che10","che10"
"OnePlus","5","cheeseburger","cheeseburger"
"Huawei","Honor 4/4X (Unified)","cherry","cherry"
"Razer","Phone","cheryl","cheryl"
"Xiaomi","Mi MIX 2","chiron","chiron"
"Motorola","Moto X Pure Edition/Style (2015)","clark","clark"
"Motorola","Moto E","condor","condor"
"Wileyfox","Swift","crackling","crackling"
"Samsung","Galaxy S III (AT&T)","d2att","d2att"
"Samsung","Galaxy S III (Sprint)","d2spr","d2spr"
"Samsung","Galaxy S III (T-Mobile)","d2tmo","d2tmo"
"Samsung","Galaxy S III (Verizon)","d2vzw","d2vzw"
"LG","G2 (AT&T)","d800","d800"
"LG","G2 (T-Mobile)","d801","d801"
"LG","G2 (International)","d802","d802"
"LG","G2 (Canadian)","d803","d803"
"LG","G3 (AT&T)","d850","d850"
"LG","G3 (T-Mobile)","d851","d851"
"LG","G3 (Canada)","d852","d852"
"LG","G3 (International)","d855","d855"
"Google","Nexus 7 (LTE, 2013 version)","deb","deb"
"Xiaomi","Mi 8","dipper","dipper"
"Sony","Xperia XA2 Ultra","discovery","discovery"
"Sony","Xperia ZR","dogo","dogo"
"Google","Pixel C","dragon","dragon"
"OnePlus","5T","dumpling","dumpling"
"OnePlus","6","enchilada","enchilada"
"Samsung","Galaxy Tab 2 7.0 / Tab 2 10.1 (GSM)","espresso3g","espresso3g"
"Samsung","Galaxy Tab 2 7.0 / Tab 2 10.1 (Wi-Fi / Wi-Fi + IR)","espressowifi","espressowifi"
"Nextbit","Robin","ether","ether"
"OPPO","F1 (International)","f1f","f1f"
"LG","G3 (Korea)","f400","f400"
"OnePlus","6T","fajita","fajita"
"Motorola","Moto G","falcon","falcon"
"OPPO","Find 7a/s","find7","find7"
"Google","Nexus 7 (Wi-Fi, 2013 version)","flo","flo"
"Google","Nexus 9 (Wi-Fi)","flounder","flounder"
"Google","Nexus 9 (LTE)","flounder_lte","flounder_lte"
"Nvidia","Shield Android TV","foster","foster"
"Google","Nexus Player","fugu","fugu"
"LG","G2 Mini","g2m","g2m"
"Xiaomi","Mi 5","gemini","gemini"
"Motorola","Moto X","ghost","ghost"
"BQ","Aquaris X5 Plus","gohan","gohan"
"Motorola","Moto Z","griffin","griffin"
"Samsung","Galaxy Tab E 9.6 (WiFi)","gtelwifiue","gtelwifiue"
"Samsung","Galaxy Tab E 8.0 LTE (Sprint)","gtesqltespr","gtesqltespr"
"Samsung","Galaxy Tab S2 9.7 (LTE)","gts210ltexx","gts210ltexx"
"Samsung","Galaxy Tab S2 9.7 Wi-Fi (2016)","gts210vewifi","gts210vewifi"
"Samsung","Galaxy Tab S2 9.7 (Wi-Fi)","gts210wifi","gts210wifi"
"Samsung","Galaxy Tab S2 8.0 Wi-Fi (2016)","gts28vewifi","gts28vewifi"
"OnePlus","7 Pro","guacamole","guacamole"
"LG","G4 (T-Mobile)","h811","h811"
"LG","G4 (International)","h815","h815"
"LG","G5 (T-Mobile)","h830","h830"
"LG","G5 (International)","h850","h850"
"LG","G6 (EU Unlocked)","h870","h870"
"LG","V20 (AT&T)","h910","h910"
"LG","V20 (T-Mobile)","h918","h918"
"Samsung","Galaxy Note 3 (International 3G)","ha3g","ha3g"
"ZUK","Z1","ham","ham"
"Google","Nexus 5","hammerhead","hammerhead"
"Motorola","Moto G4 Play","harpia","harpia"
"Sony","Xperia TX","hayabusa","hayabusa"
"Samsung","Galaxy S7 Edge","hero2lte","hero2lte"
"Samsung","Galaxy S7","herolte","herolte"
"HTC","One A9","hiae","hiae"
"HTC","One M9 (GSM)","himaul","himaul"
"HTC","One M9 (Verizon)","himawl","himawl"
"Samsung","Galaxy Note 3 LTE (N9005/P)","hlte","hlte"
"Samsung","Galaxy Note 3 LTE (N9008V)","hltechn","hltechn"
"Samsung","Galaxy Note 3 LTE (N900K/L/S)","hltekor","hltekor"
"Samsung","Galaxy Note 3 LTE (N900T/V/W8)","hltetmo","hltetmo"
"Sony","Xperia SP","huashan","huashan"
"Xiaomi","Mi Max","hydrogen","hydrogen"
"Samsung","Galaxy S II","i9100","i9100"
"Samsung","Galaxy S III (International)","i9300","i9300"
"Samsung","Galaxy S III (LTE / International)","i9305","i9305"
"Xiaomi","Redmi 3/Prime","ido","ido"
"Sony","Xperia Z3+","ivy","ivy"
"Samsung","Galaxy S4 Active","jactivelte","jactivelte"
"LG","G3 S","jag3gds","jag3gds"
"LG","G3 Beat","jagnm","jagnm"
"YU","Yunique","jalebi","jalebi"
"ZTE","AT&T Trek 2 HD","jasmine","jasmine"
"Xiaomi","Mi Note 3","jason","jason"
"Samsung","Galaxy S4 (SGH-I337)","jflteatt","jflteatt"
"Samsung","Galaxy S4 (SCH-R970, SPH-L720)","jfltespr","jfltespr"
"Samsung","Galaxy S4 (SCH-I545)","jfltevzw","jfltevzw"
"Samsung","Galaxy S4 (GT-I9505/G, SGH-I337M, SGH-M919)","jfltexx","jfltexx"
"Samsung","Galaxy S4 Value Edition (GT-I9515/L)","jfvelte","jfvelte"
"Samsung","Galaxy S5 (International 3G)","k3gxx","k3gxx"
"Sony","Xperia Z4 Tablet LTE","karin","karin"
"Sony","Xperia Z4 Tablet WiFi","karin_windy","karin_windy"
"Samsung","Galaxy S5 Plus","kccat6","kccat6"
"Xiaomi","Redmi Note 3","kenzo","kenzo"
