"rank","code","code_orig","count","source"
"1","m8","m8","48966","https://stats.lineageos.org/"
"2","bacon","bacon","47246","https://stats.lineageos.org/"
"3","riva","riva","46546","https://stats.lineageos.org/"
"4","cancro","cancro","42656","https://stats.lineageos.org/"
"5","klte","klte","34565","https://stats.lineageos.org/"
"6","j7elte","j7eltexx","32114","https://stats.lineageos.org/"
"7","t0lte","t0lte","32059","https://stats.lineageos.org/"
"8","wt88047","wt88047","31822","https://stats.lineageos.org/"
"9","i9300","i9300","27773","https://stats.lineageos.org/"
"10","mido","mido","24782","https://stats.lineageos.org/"
"11","osprey","osprey","22178","https://stats.lineageos.org/"
"12","j5xnlte","j5xnlte","19126","https://stats.lineageos.org/"
"13","hammerhead","hammerhead","17654","https://stats.lineageos.org/"
"14","x620","x620","17605","https://stats.lineageos.org/"
"15","titan","titan","16834","https://stats.lineageos.org/"
"16","oneplus3","oneplus3","16155","https://stats.lineageos.org/"
"17","beryllium","beryllium","15756","https://stats.lineageos.org/"
"18","santoni","santoni","15255","https://stats.lineageos.org/"
"19","falcon","falcon","15026","https://stats.lineageos.org/"
"20","on5xelte","on5xelte","14197","https://stats.lineageos.org/"
"21","x2","x2","14028","https://stats.lineageos.org/"
"22","flo","flo","12849","https://stats.lineageos.org/"
"23","rpi3","rpi3","12759","https://stats.lineageos.org/"
"24","zeroflte","zerofltexx","12203","https://stats.lineageos.org/"
"25","libra","libra","11918","https://stats.lineageos.org/"
"26","hlte","hlte","11622","https://stats.lineageos.org/"
"27","espressowifi","espressowifi","11469","https://stats.lineageos.org/"
"28","jflte","jfltexx","11455","https://stats.lineageos.org/"
"29","g0215d","g0215d","11073","https://stats.lineageos.org/"
"30","oneplus2","oneplus2","11041","https://stats.lineageos.org/"
"31","serranolte","serranoltexx","10777","https://stats.lineageos.org/"
"32","z2_plus","z2_plus","10696","https://stats.lineageos.org/"
"33","herolte","herolte","9976","https://stats.lineageos.org/"
"34","a3y17lte","a3y17lte","9561","https://stats.lineageos.org/"
"35","athene","athene","9502","https://stats.lineageos.org/"
"36","shamu","shamu","8624","https://stats.lineageos.org/"
"37","kenzo","kenzo","8293","https://stats.lineageos.org/"
"38","icosa","icosa","8277","https://stats.lineageos.org/"
"39","gemini","gemini","7828","https://stats.lineageos.org/"
"40","s2","s2","7796","https://stats.lineageos.org/"
"41","i9100","i9100","7784","https://stats.lineageos.org/"
"42","j7velte","j7velte","7563","https://stats.lineageos.org/"
"43","ido","ido","7456","https://stats.lineageos.org/"
"44","espresso3g","espresso3g","7395","https://stats.lineageos.org/"
"45","hero2lte","hero2lte","7329","https://stats.lineageos.org/"
"46","j3y17lte","j3y17lte","7138","https://stats.lineageos.org/"
"47","tissot","tissot","6790","https://stats.lineageos.org/"
"48","whyred","whyred","6716","https://stats.lineageos.org/"
"49","A6020","A6020","6560","https://stats.lineageos.org/"
"50","santos10wifi","santos10wifi","6536","https://stats.lineageos.org/"
"51","mocha","mocha","6517","https://stats.lineageos.org/"
"52","mako","mako","6446","https://stats.lineageos.org/"
"53","land","land","6390","https://stats.lineageos.org/"
"54","i9082","i9082","6200","https://stats.lineageos.org/"
"55","zl1","zl1","6057","https://stats.lineageos.org/"
"56","gtel3g","gtel3g","5984","https://stats.lineageos.org/"
"57","rolex","rolex","5812","https://stats.lineageos.org/"
"58","n7100","n7100","5774","https://stats.lineageos.org/"
"59","bullhead","bullhead","5734","https://stats.lineageos.org/"
"60","fortunave3g","fortunave3g","5714","https://stats.lineageos.org/"
"61","grouper","grouper","5707","https://stats.lineageos.org/"
"62","j3xnlte","j3xnlte","5620","https://stats.lineageos.org/"
"63","kiwi","kiwi","5604","https://stats.lineageos.org/"
"64","trlte","trlte","5488","https://stats.lineageos.org/"
"65","n8000","n8000","5311","https://stats.lineageos.org/"
"66","harpia","harpia","5255","https://stats.lineageos.org/"
"67","grandprimeve3g","grandprimeve3g","5138","https://stats.lineageos.org/"
"68","thor","thor","5113","https://stats.lineageos.org/"
"69","shieldtablet","shieldtablet","5043","https://stats.lineageos.org/"
"70","onyx","onyx","5039","https://stats.lineageos.org/"
"71","fortuna3g","fortuna3g","4965","https://stats.lineageos.org/"
"72","golden","golden","4908","https://stats.lineageos.org/"
"73","d802","d802","4906","https://stats.lineageos.org/"
"74","capricorn","capricorn","4791","https://stats.lineageos.org/"
"75","victara","victara","4776","https://stats.lineageos.org/"
"76","lavender","lavender","4756","https://stats.lineageos.org/"
"77","d855","d855","4703","https://stats.lineageos.org/"
